start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-8,14,2,3,40.0,-57.14
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,38,-8,14,0,1,0.0,-57.14
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-8,14,0,1,0.0,-57.14
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-8,14,2,3,40.0,-57.14
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-8,14,0,1,0.0,-57.14
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-8,14,0,1,0.0,-57.14
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-8,16,1,0,100.0,-50.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-8,16,1,0,100.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-8,16,3,3,50.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-8,16,0,1,0.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-8,16,3,3,50.0,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-8,16,0,1,0.0,-50.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-8,18,1,0,100.0,-44.44
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-8,18,1,0,100.0,-44.44
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-8,18,1,0,100.0,-44.44
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-8,18,1,0,100.0,-44.44
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-8,18,3,2,60.0,-44.44
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-8,18,1,0,100.0,-44.44
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-8,18,0,1,0.0,-44.44
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-8,18,3,2,60.0,-44.44
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-8,18,1,0,100.0,-44.44
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-8,18,0,1,0.0,-44.44
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-8,20,1,1,50.0,-40.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-8,20,1,0,100.0,-40.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-8,20,1,1,50.0,-40.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-8,20,1,0,100.0,-40.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-8,20,0,1,0.0,-40.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-8,20,1,0,100.0,-40.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-8,20,0,1,0.0,-40.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-8,20,3,2,60.0,-40.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-8,20,1,0,100.0,-40.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-8,20,0,1,0.0,-40.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-8,20,3,2,60.0,-40.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-8,20,1,0,100.0,-40.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-8,20,0,1,0.0,-40.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-6,10,0,2,0.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,38,-6,10,0,1,0.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-6,10,1,0,100.0,-60.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-6,10,1,2,33.33,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-6,10,1,2,33.33,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-6,10,1,0,100.0,-60.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-6,10,2,3,40.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-6,10,1,1,50.0,-60.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-6,10,1,3,25.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-6,10,2,5,28.57,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,38,-6,10,0,1,0.0,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-6,10,0,1,0.0,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-6,10,1,1,50.0,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-6,10,2,5,28.57,-60.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-6,10,0,1,0.0,-60.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-6,10,0,1,0.0,-60.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-6,10,1,1,50.0,-60.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,38,-6,10,0,2,0.0,-60.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURJPY,38,-6,10,0,1,0.0,-60.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-6,12,2,1,66.67,-50.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,38,-6,12,0,1,0.0,-50.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-6,12,1,0,100.0,-50.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-6,12,2,1,66.67,-50.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-6,12,1,2,33.33,-50.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-6,12,1,0,100.0,-50.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-6,12,1,2,33.33,-50.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-6,12,1,1,50.0,-50.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-6,12,1,2,33.33,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-6,12,2,4,33.33,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,38,-6,12,0,1,0.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-6,12,0,1,0.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-6,12,1,1,50.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-6,12,2,4,33.33,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-6,12,0,1,0.0,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-6,12,0,1,0.0,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-6,12,1,1,50.0,-50.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,38,-6,12,0,1,0.0,-50.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURJPY,38,-6,12,1,0,100.0,-50.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-6,14,2,2,50.0,-42.86
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,38,-6,14,0,1,0.0,-42.86
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-6,14,1,0,100.0,-42.86
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-6,14,2,2,50.0,-42.86
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-6,14,1,1,50.0,-42.86
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-6,14,1,0,100.0,-42.86
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-6,14,1,1,50.0,-42.86
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-6,14,1,0,100.0,-42.86
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-6,14,1,1,50.0,-42.86
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-6,14,3,3,50.0,-42.86
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURUSD,38,-6,14,1,1,50.0,-42.86
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,38,-6,14,0,1,0.0,-42.86
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-6,14,0,1,0.0,-42.86
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-6,14,0,1,0.0,-42.86
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-6,14,3,3,50.0,-42.86
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-6,14,0,1,0.0,-42.86
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-6,14,0,1,0.0,-42.86
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-6,14,0,1,0.0,-42.86
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURJPY,38,-6,14,1,0,100.0,-42.86
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-6,16,2,2,50.0,-37.5
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-6,16,1,0,100.0,-37.5
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-6,16,2,3,40.0,-37.5
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-6,16,1,0,100.0,-37.5
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-6,16,1,0,100.0,-37.5
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-6,16,2,0,100.0,-37.5
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-6,16,1,1,50.0,-37.5
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-6,16,2,1,66.67,-37.5
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,AUDUSD,38,-6,16,1,0,100.0,-37.5
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-6,16,4,3,57.14,-37.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURUSD,38,-6,16,1,0,100.0,-37.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,38,-6,16,0,1,0.0,-37.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-6,16,1,0,100.0,-37.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-6,16,0,1,0.0,-37.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-6,16,4,3,57.14,-37.5
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-6,16,0,1,0.0,-37.5
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-6,16,1,0,100.0,-37.5
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-6,16,0,1,0.0,-37.5
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,38,-6,16,0,1,0.0,-37.5
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-6,18,2,6,25.0,-33.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-6,18,1,0,100.0,-33.33
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-6,18,2,6,25.0,-33.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-6,18,1,0,100.0,-33.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-6,18,1,0,100.0,-33.33
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-6,18,3,2,60.0,-33.33
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-6,18,2,1,66.67,-33.33
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-6,18,3,3,50.0,-33.33
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,AUDUSD,38,-6,18,1,0,100.0,-33.33
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-6,18,4,3,57.14,-33.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,38,-6,18,0,1,0.0,-33.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-6,18,1,1,50.0,-33.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-6,18,0,1,0.0,-33.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-6,18,4,3,57.14,-33.33
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-6,18,0,1,0.0,-33.33
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-6,18,1,1,50.0,-33.33
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-6,18,0,1,0.0,-33.33
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,38,-6,18,0,3,0.0,-33.33
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-6,20,2,4,33.33,-30.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,38,-6,20,1,0,100.0,-30.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,38,-6,20,3,4,42.86,-30.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,38,-6,20,0,1,0.0,-30.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,GBPUSD,38,-6,20,0,1,0.0,-30.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,38,-6,20,1,0,100.0,-30.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,38,-6,20,2,1,66.67,-30.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,38,-6,20,2,3,40.0,-30.0
