start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,2,-6,8,1,1,50.0,-75.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-6,8,2,2,50.0,-75.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCHF,2,-6,8,1,0,100.0,-75.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,2,-6,8,1,1,50.0,-75.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURUSD,2,-6,8,1,1,50.0,-75.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,USDCHF,2,-6,8,1,0,100.0,-75.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-6,8,1,5,16.67,-75.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-6,8,1,2,33.33,-75.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,2,-6,8,1,0,100.0,-75.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,2,-6,8,0,1,0.0,-75.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,2,-6,8,1,5,16.67,-75.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-6,8,1,2,33.33,-75.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCAD,2,-6,8,0,1,0.0,-75.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,2,-6,8,1,0,100.0,-75.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,2,-6,8,0,1,0.0,-75.0
2008-08-02T00:00:00+00:00,2010-08-02T00:00:00+00:00,EURCHF,2,-6,8,1,0,100.0,-75.0
2008-08-02T00:00:00+00:00,2010-08-02T00:00:00+00:00,USDCAD,2,-6,8,0,1,0.0,-75.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURCHF,2,-6,8,1,0,100.0,-75.0
